timestamp,gaze_angle,head_pitch,head_yaw,head_roll,ear_left,ear_right,pupil_left,pupil_right,blink_rate,fixation_stability,focus_score
1764434099.5639532,2.20,-0.41,-0.64,-51.83,0.242,0.224,13.38,13.62,0.0,0.000,0.0
1764434099.703187,3.49,-7.26,0.50,-88.15,0.311,0.202,21.65,19.81,0.0,0.000,0.0
1764434099.7424169,4.37,-10.29,1.46,-113.36,0.299,0.199,27.76,24.53,0.0,0.000,0.0
1764434099.771722,4.98,-11.14,2.21,-131.45,0.327,0.208,34.86,28.59,0.0,0.000,0.0
1764434099.801109,5.42,-13.84,2.81,-143.98,0.303,0.205,35.12,31.42,0.0,0.000,0.0
1764434099.8300061,5.70,-15.65,3.19,-152.56,0.316,0.211,36.45,33.16,0.0,0.000,0.0
1764434099.8594382,5.90,-17.46,3.50,-158.55,0.316,0.190,36.94,34.27,0.0,0.000,0.0
1764434099.8907485,6.02,-16.21,3.61,-162.60,0.312,0.205,39.66,34.83,0.0,0.000,0.0
1764434099.917667,6.11,-17.20,3.70,-165.47,0.301,0.206,41.56,34.99,0.0,0.000,0.0
1764434099.9415104,6.17,-18.33,3.84,-167.55,0.292,0.198,39.53,37.23,0.0,0.000,0.0
1764434099.9634147,6.21,-19.42,3.97,-168.97,0.306,0.197,39.91,38.63,0.0,0.000,0.0
1764434099.9834836,6.24,-20.37,4.02,-169.89,0.306,0.197,40.17,39.36,0.0,0.000,0.0
1764434100.0126052,6.25,-20.81,4.07,-170.55,0.301,0.207,43.46,40.02,0.0,0.000,0.0
1764434100.0328903,6.26,-21.10,4.09,-171.02,0.300,0.205,45.76,40.48,0.0,0.000,0.0
1764434100.1039515,6.27,-20.93,4.07,-171.22,0.308,0.203,43.83,37.42,0.0,0.000,0.0
1764434100.1323602,6.27,-20.53,4.01,-171.41,0.307,0.204,42.25,35.28,0.0,0.000,0.0
1764434100.1504455,6.27,-20.94,3.90,-171.52,0.308,0.204,41.35,37.44,0.0,0.000,0.0
1764434100.1990945,6.28,-21.01,3.79,-171.71,0.303,0.222,42.30,40.23,0.0,0.000,0.0
1764434100.2207255,6.28,-21.32,3.74,-171.82,0.304,0.218,43.21,39.56,0.0,0.000,0.0
1764434100.2422328,6.29,-19.97,3.76,-171.84,0.292,0.223,40.79,38.40,0.0,0.000,0.0
1764434100.297309,6.29,-21.02,3.92,-172.24,0.313,0.237,40.49,38.80,0.0,0.000,0.0
1764434100.3234265,6.30,-21.81,4.05,-172.52,0.295,0.225,39.97,39.52,0.0,0.000,0.0
1764434100.3476005,6.30,-22.36,4.01,-172.47,0.308,0.225,41.96,37.61,0.0,0.000,0.0
1764434100.4024706,6.31,-22.30,3.98,-172.58,0.292,0.211,43.04,37.78,0.0,0.000,0.0
1764434100.4295816,6.31,-22.30,3.96,-172.53,0.295,0.214,43.80,37.89,0.0,0.000,0.0
1764434100.45456,6.31,-22.39,3.97,-172.70,0.273,0.215,44.61,40.74,0.0,0.000,0.0
1764434100.4781365,6.33,-22.78,3.91,-172.72,0.251,0.200,44.73,40.62,0.0,0.000,0.0
1764434100.5240526,6.34,-22.99,3.80,-172.78,0.249,0.195,44.62,42.87,0.0,0.000,0.0
1764434100.556187,6.34,-23.28,3.75,-172.76,0.252,0.196,44.56,43.18,0.0,0.000,0.0
1764434100.5833874,6.35,-23.33,3.70,-172.76,0.248,0.208,44.51,43.40,0.0,0.000,0.0
1764434100.6390953,6.35,-23.36,3.61,-172.69,0.258,0.209,44.28,43.27,0.0,0.000,0.0
1764434100.6639593,6.35,-23.02,3.65,-172.73,0.255,0.208,42.75,43.17,0.0,0.000,0.0
1764434100.7137504,6.35,-22.80,3.61,-172.64,0.266,0.216,44.21,37.03,0.0,0.000,0.0
1764434100.7346675,6.35,-22.48,3.64,-172.73,0.265,0.217,43.23,32.74,0.0,0.000,0.0
1764434100.763779,6.36,-22.30,3.57,-172.68,0.266,0.219,44.54,29.73,0.0,0.000,0.0
1764434100.7872598,6.36,-22.08,3.59,-172.74,0.261,0.228,47.69,26.26,0.0,0.000,0.0
1764434100.8112633,6.37,-22.52,3.65,-172.83,0.258,0.231,49.17,24.36,0.0,0.000,0.0
1764434100.8580167,6.38,-22.19,3.68,-172.61,0.256,0.241,49.05,27.65,0.0,0.000,0.0
1764434100.889768,6.39,-22.78,3.71,-172.74,0.245,0.232,45.63,25.00,0.0,0.000,0.0
1764434100.9127803,6.39,-21.94,3.73,-172.63,0.251,0.230,46.31,23.35,0.0,0.000,0.0
1764434100.9359324,6.40,-23.03,3.72,-172.72,0.249,0.231,45.98,28.09,0.0,0.000,0.0
1764434100.98396,6.41,-22.47,3.69,-172.63,0.253,0.233,44.43,30.88,0.0,0.000,0.0
1764434101.0153458,6.42,-23.20,3.66,-172.70,0.246,0.229,41.95,33.34,0.0,0.000,0.0
1764434101.0859897,6.42,-23.87,3.64,-172.80,0.245,0.238,42.48,29.71,0.0,0.000,0.0
1764434101.1112523,6.43,-24.50,3.59,-172.87,0.239,0.234,42.40,26.82,0.0,0.000,0.0
1764434101.1348562,6.44,-24.51,3.59,-172.95,0.243,0.247,43.43,30.77,0.0,0.000,0.0
1764434101.1728919,6.44,-24.83,3.53,-173.00,0.245,0.244,43.05,33.08,0.0,0.000,0.0
1764434101.1962562,6.45,-24.04,3.64,-173.04,0.253,0.252,43.88,34.20,0.0,0.000,0.0
1764434101.2299545,6.45,-24.82,3.64,-173.17,0.260,0.242,43.06,35.52,0.0,0.000,0.0
1764434101.2525382,6.46,-24.76,3.69,-173.23,0.255,0.240,44.41,36.44,0.0,0.000,0.0
1764434101.2804096,6.46,-25.21,3.70,-173.36,0.254,0.249,45.04,37.56,0.0,0.000,0.0
1764434101.3046033,6.46,-25.46,3.71,-173.47,0.261,0.231,47.00,31.31,0.0,0.000,0.0
1764434101.3513308,6.46,-24.52,3.54,-173.19,0.254,0.224,42.98,27.06,0.0,0.000,0.0
1764434101.4013996,6.44,-24.37,3.55,-173.04,0.262,0.208,41.74,28.98,0.0,0.000,0.0
1764434101.4206984,6.42,-24.58,3.56,-173.10,0.278,0.213,40.88,30.41,0.0,0.000,0.0
1764434101.4430752,6.41,-25.07,3.51,-172.87,0.271,0.229,39.40,34.53,0.0,0.000,0.0
1764434101.4951582,6.40,-25.70,3.50,-172.81,0.291,0.223,40.29,34.82,0.0,0.000,0.0
1764434101.514541,6.39,-26.03,3.49,-172.79,0.290,0.223,40.90,35.02,0.0,0.000,0.0
1764434101.5485675,6.39,-26.36,3.48,-172.75,0.296,0.228,38.42,35.65,0.0,0.000,0.0
1764434101.568639,6.39,-26.49,3.45,-172.69,0.300,0.227,36.69,36.09,0.0,0.000,0.0
1764434101.5957959,6.38,-26.65,3.46,-172.68,0.298,0.221,35.55,35.66,0.0,0.000,0.0
1764434101.6252043,6.38,-26.76,3.45,-172.66,0.297,0.235,35.09,36.48,0.0,0.000,0.0
1764434101.6707263,6.38,-27.06,3.59,-172.85,0.292,0.230,35.68,38.69,0.0,0.000,0.0
1764434101.73409,6.38,-27.14,3.68,-173.12,0.305,0.249,35.87,37.88,0.0,0.000,0.0
1764434101.7580032,6.37,-27.29,3.67,-173.20,0.313,0.251,36.07,37.31,0.0,0.000,0.0
1764434101.7833796,6.38,-27.34,3.83,-173.44,0.307,0.248,35.40,37.08,0.0,0.000,0.0
1764434101.830396,6.38,-27.33,3.95,-173.75,0.315,0.242,34.48,36.68,0.0,0.000,0.0
1764434101.8504288,6.38,-27.62,3.99,-174.04,0.323,0.246,33.83,36.39,0.0,0.000,0.0
1764434101.8688917,6.39,-27.20,3.94,-174.12,0.293,0.252,34.77,37.40,0.0,0.000,0.0
1764434101.9119685,6.41,-26.80,3.87,-174.26,0.298,0.259,35.84,36.55,0.0,0.000,0.0
1764434101.9643028,6.43,-26.50,3.83,-174.22,0.303,0.265,36.04,36.99,0.0,0.000,0.0
1764434101.9856644,6.45,-26.21,3.83,-174.26,0.300,0.266,37.09,37.13,0.0,0.000,0.0
1764434102.012322,6.46,-26.30,3.93,-174.50,0.302,0.263,35.79,38.57,0.0,0.000,0.0
1764434102.0332363,6.46,-26.43,3.98,-174.70,0.294,0.269,33.70,38.96,0.0,0.000,0.0
1764434102.101959,6.48,-26.08,3.88,-174.45,0.300,0.271,34.26,37.98,0.0,0.000,0.0
1764434102.122552,6.49,-25.80,3.73,-174.27,0.294,0.273,34.65,37.37,0.0,0.000,0.0
1764434102.150951,6.49,-25.84,3.62,-174.07,0.298,0.269,34.43,30.91,0.0,0.000,0.0
1764434102.1843565,6.50,-26.12,3.59,-173.98,0.297,0.262,34.43,32.20,0.0,0.000,0.0
1764434102.6789272,6.51,-25.00,3.64,-174.31,0.147,0.099,33.50,36.77,0.0,0.000,0.0
1764434102.6991682,6.53,-25.32,3.66,-174.56,0.218,0.204,34.77,38.09,0.0,0.000,0.0
1764434102.7184489,6.54,-26.22,3.64,-174.71,0.223,0.205,35.66,38.84,0.0,0.000,0.0
1764434102.737831,6.55,-26.66,3.59,-174.95,0.254,0.242,35.53,39.48,0.0,0.000,0.0
1764434102.7750566,6.57,-27.54,3.32,-174.70,0.271,0.251,35.96,38.95,0.0,0.000,0.0
1764434102.7953544,6.58,-28.27,3.10,-174.67,0.262,0.246,36.65,40.36,0.0,0.000,0.0
1764434102.8145974,6.60,-28.43,2.93,-174.61,0.287,0.256,37.19,38.15,0.0,0.000,0.0
1764434102.8400598,6.61,-28.23,2.76,-174.51,0.278,0.266,38.02,37.53,0.0,0.000,0.0
1764434102.9035273,6.63,-27.60,2.64,-174.44,0.285,0.274,38.13,39.20,0.0,0.000,0.0
1764434102.92343,6.65,-26.90,2.56,-174.54,0.285,0.261,37.22,40.37,0.0,0.000,0.0
1764434102.94179,6.67,-26.75,2.45,-174.33,0.305,0.274,36.44,40.80,0.0,0.000,0.0
1764434102.9818363,6.70,-26.65,2.26,-174.21,0.301,0.272,36.41,38.72,0.0,0.000,0.0
1764434103.0299048,6.76,-25.54,1.96,-174.08,0.312,0.264,33.38,37.34,0.0,0.000,0.0
1764434103.0487316,6.79,-25.59,1.76,-173.95,0.296,0.284,31.59,36.47,0.0,0.000,0.0
1764434103.079234,6.86,-15.20,1.29,-173.65,0.304,0.251,33.88,35.59,0.0,0.000,0.0
1764434103.1369064,6.98,-6.43,0.82,-173.65,0.317,0.254,33.51,35.06,0.0,0.000,0.0
1764434103.1626132,7.06,-0.95,0.50,-173.29,0.329,0.248,34.28,35.70,0.0,0.000,0.0
1764434103.185538,7.21,4.38,0.03,-173.46,0.319,0.227,35.51,36.48,0.0,0.000,0.0
1764434103.2224612,7.39,8.35,-0.37,-173.69,0.323,0.255,37.61,37.11,0.0,0.000,0.0
1764434103.2414262,7.51,11.11,-0.63,-173.54,0.319,0.262,38.99,38.11,0.0,0.000,0.0
1764434103.2689211,7.67,13.42,-0.87,-173.66,0.317,0.272,39.19,36.20,0.0,0.000,0.0
